Region,Cell Phone Number,SIM Activation Date,First Name,Last Name,Date of Birth,Source System Name
Durban,27736732237,26 10 2023,Zinhle,Ndabansele,,ArrowMobile
Klerksdorp,27737674304,15 11 2024,Danielle,Sharp,,ArrowMobile
Ekurhuleni,27738312041,31 05 2024,Lungile,Nzimande,,ArrowMobile
Cape Town,27738718563,28 04 2025,Kyle,Brown,,ArrowMobile
Durban,27739228461,28 09 2024,Mcebisi,Dubandlela,,ArrowMobile
Springs,27739579306,24 05 2024,Thoe,Pierce,,ArrowMobile
Johannesburg,27740027276,20 05 2025,Mzamo,Sembathwa,,ArrowMobile
Johannesburg,27740678513,10 12 2024,Rita,Kaur,,ArrowMobile
Johannesburg,27740678513,10 12 2024,Ritw,Kaur,,ArrowMobile
Johannesburg,27740715738,12 11 2024,Brittany,Johnson,,ArrowMobile
Middelburg,27741562035,21 10 2023,Thalente,Ngidi,,ArrowMobile
Ekurhuleni,27742020320,03 05 2025,Nothando,Shoyisa,,ArrowMobile
Cape Town,27743417384,19 08 2023,William,Gonzalez,,ArrowMobile
Durban,27744146237,05 12 2023,Guy,Alexander,,ArrowMobile
Kimberley,27745495609,04 08 2023,Thomas,Reed,,ArrowMobile
Ekurhuleni,27746332321,23 02 2024,Thandazile,Khathide,,ArrowMobile
Cape Town,27746984621,17 04 2024,Rachael,Pritchard,,ArrowMobile
Johannesburg,27747753873,28 01 2025,Njabulo,Ndabezitha,,ArrowMobile
Cape Town,27748419705,16 07 2023,Sibonelo,Mavundla,,ArrowMobile
Johannesburg,27749895634,16 02 2025,Minenhle,Mondise,,ArrowMobile
Cape Town,27750383551,05 01 2025,Mcebisi,Mshikela,,ArrowMobile
Johannesburg,27750711986,05 08 2023,Njabulo,Dumisa,,ArrowMobile
Port Elizabeth,27751166645,22 03 2024,Luyanda,Kubheka,,ArrowMobile
Newcastle,27753131305,17 02 2025,Busisiwe,Nyanda,,ArrowMobile
Boksburg,27753625790,02 11 2023,Chelsea,Ryan,,ArrowMobile
Nelspruit,27754088048,18 08 2024,Thabani,Jamile,,ArrowMobile
Vereeniging,27755709632,07 01 2025,Nomathalente,Nhlane,,ArrowMobile
East London,27756114668,21 05 2025,Owethu,Mafulela,,ArrowMobile
Krugersdorp,27757073185,08 09 2024,Ryan,Taylor,,ArrowMobile
Witbank,27758098548,03 01 2025,Carole,Matthews,,ArrowMobile
Cape Town,27758744686,29 04 2025,Teresa,Walsh,,ArrowMobile
Johannesburg,27758901102,10 01 2024,Mthokozisi,Mthethwa,,ArrowMobile
Durban,27760632550,28 03 2025,Thabisa,Mgcaleka,,ArrowMobile
Cape Town,27761389488,21 07 2024,Londisizwe,Ndaba,,ArrowMobile
Cape Town,27761598472,05 10 2023,Thabisile,Mdaka,,ArrowMobile
Durban,27762338119,18 07 2024,Melanie,Bell,,ArrowMobile
Johannesburg,27763735255,24 01 2024,Joshua,Lewis,,ArrowMobile
Cape Town,27764364545,07 02 2024,Busisiwe,Mzulwini,,ArrowMobile
Ekurhuleni,27765569160,08 03 2025,Mnqobi,Dlamane,,ArrowMobile
Krugersdorp,27766354480,13 04 2025,Alexander,Le,,ArrowMobile
Vereeniging,27767399287,16 06 2024,Duncan,Humphries,,ArrowMobile
Ekurhuleni,27767632849,09 09 2024,Erica,Mcclain,,ArrowMobile
Klerksdorp,27767843485,28 02 2025,Mohammad,Smith,,ArrowMobile
Cape Town,27768158896,22 07 2023,Thembisile,Shelembe,,ArrowMobile
Johannesburg,27769031933,06 06 2025,Bhekokwakhe,Mbatha,,ArrowMobile
Cape Town,27769652162,29 10 2024,Linda,Morales,,ArrowMobile
Durban,27770945460,27 07 2024,Thando,Ndlela,,ArrowMobile
Cape Town,27771177580,07 09 2024,Danielle,Rodriguez,,ArrowMobile
West Rand,27771477596,21 06 2024,Kathryn,Ryan,,ArrowMobile
East London,27771920365,27 12 2024,Shawn,Flowers,,ArrowMobile
Cape Town,27774163254,15 02 2025,Mcebisi,Khosini,,ArrowMobile
Pretoria,27775270396,26 07 2023,SimphiweyiNkosi,Dlambula,,ArrowMobile
Port Elizabeth,27775640687,05 05 2024,Thando,Mavundla,,ArrowMobile
Uitenhage,27776328452,29 04 2024,Zenzile,Phuthini,,ArrowMobile
Pretoria,27776874455,29 04 2024,Bandile,Nkwanyana,,ArrowMobile
Durban,27777937454,18 09 2024,Wanda,Santos,,ArrowMobile
Johannesburg,27779152086,13 01 2025,Karen,Carter,,ArrowMobile
Cape Town,27779545098,16 04 2024,Bhekokwakhe,Mafobo,,ArrowMobile
Cape Town,27780348072,15 01 2024,Amahle,Mbhobho,,ArrowMobile
Bloemfontein,27781238778,20 10 2023,Zenzile,Phuthini,,ArrowMobile
Boksburg,27782940238,26 03 2025,Nobantu,Mlondo,,ArrowMobile
Soshanguve,27784301965,27 10 2023,Andile,Thumbela,,ArrowMobile
Cape Town,27786671547,27 12 2023,Khanyisile,Mthethwa,,ArrowMobile
West Rand,27787356407,18 07 2024,Kathleen,Romero,,ArrowMobile
Johannesburg,27789209708,05 02 2024,Daniel,Burton,,ArrowMobile
Pietermaritzburg,27789793342,25 10 2023,Amy,Robinson,,ArrowMobile
Vereeniging,27790022877,07 06 2024,Zibuyile,Ndlandla,,ArrowMobile
Johannesburg,27790681902,28 10 2024,Nhlanhla,Nhlane,,ArrowMobile
Bloemfontein,27790892604,23 04 2025,Dumisile,Mazwi,,ArrowMobile
Polokwane,27791653270,25 01 2025,Vusumuzi,Bhovungana,,ArrowMobile
Soshanguve,27792273093,04 02 2025,Mthokozisi,Kubheka,,ArrowMobile
Newcastle,27792936129,06 04 2025,Nhlanhla,Shandu,,ArrowMobile
Durban,27795199855,07 01 2025,Thabisile,Khuzwayo,,ArrowMobile
Nelspruit,27796004479,28 10 2024,SimphiweyiNkosi,Mahlinza,,ArrowMobile
Johannesburg,27796664125,26 06 2024,Thandazile,Fakude,,ArrowMobile
Durban,27797256727,21 09 2024,Bhekokwakhe,Dwala,,ArrowMobile
Johannesburg,27798290960,27 07 2024,Veronica,Bowman,,ArrowMobile
Krugersdorp,27798562157,24 07 2024,Jeffrey,Morgan,,ArrowMobile
Soshanguve,27799314934,15 11 2023,Gerald,Bailey,,ArrowMobile
Benoni,27799933613,29 09 2024,Sithembiso,Mvubu,,ArrowMobile
