MSISDN;USAGE_EVENT_DATE_TIME;USAGE_EVENT_CITY_ID;USAGE_EVENT_TYPE_ID;USAGE_EVENT_TRACKING_QUANTITY;USAGE_EVENT_TRACKING_UNIT;USAGE_EVENT_BILLING_QUANTITY;USAGE_EVENT_BILLING_UNIT;USAGE_EVENT_REVENUE
+27707578628;17 07 2025 23:20;21;8;147;seconds;147;seconds;19,11
+27701525711;18 07 2025 04:46;7;5;154;seconds;154;seconds;4,62
+27757073185;18 07 2025 03:46;25;1;52;MBs;52;MBs;6,24
+27703027009;19 07 2025 18:27;33;5;20;seconds;20;seconds;0,6
+27782561720;14 07 2025 10:56;35;5;182;seconds;182;seconds;7,28
+27768158896;17 07 2025 13:43;33;7;27;seconds;1;minutes;1,1
+27767399287;18 07 2025 07:42;17;2;126;MBs;126;MBs;44,1
+27766354480;19 07 2025 01:44;12;5;250;seconds;250;seconds;12,5
+27702088773;17 07 2025 22:42;14;5;37;seconds;37;seconds;1,48
+27739228461;19 07 2025 18:00;19;5;233;seconds;233;seconds;6,99
+27725463719;15 07 2025 09:01;21;1;151;MBs;151;MBs;25,67
+27718061525;19 07 2025 03:37;33;1;24;MBs;24;MBs;4,56
+27732960859;16 07 2025 21:08;33;5;148;seconds;148;seconds;4,44
+27753131305;19 07 2025 14:19;20;5;210;seconds;210;seconds;10,5
+27711513959;19 07 2025 13:32;18;3;1;seconds;1;minutes;1,12
+27778724103;16 07 2025 17:51;11;1;293;MBs;293;MBs;46,88
+27709050860;14 07 2025 08:30;2;5;32;seconds;32;seconds;0,64
+27795728959;19 07 2025 15:34;11;5;82;seconds;82;seconds;2,46
+27700408017;19 07 2025 13:39;34;2;144;MBs;144;MBs;51,84
+27728781369;17 07 2025 05:13;33;8;17;seconds;17;seconds;2,55
+27748023717;19 07 2025 11:26;17;1;146;MBs;146;MBs;16,06
+27757073185;14 07 2025 21:31;12;1;87;MBs;87;MBs;10,44
+27712488797;15 07 2025 16:02;35;4;209;seconds;4;minutes;2,88
+27743282991;15 07 2025 03:45;11;6;300;SMSs;300;SMSs;180
+27789810620;16 07 2025 08:05;10;8;131;seconds;131;seconds;22,27
+27777008770;19 07 2025 23:02;10;7;300;seconds;5;minutes;5,95
+27729603611;14 07 2025 08:38;35;5;218;seconds;218;seconds;10,9
+27714005115;16 07 2025 03:56;26;5;7;seconds;7;seconds;0,28
+27770953276;19 07 2025 19:33;17;5;199;seconds;199;seconds;5,97
+27796004479;16 07 2025 09:11;26;5;258;seconds;258;seconds;10,32
+27718448667;15 07 2025 10:45;21;8;236;seconds;236;seconds;42,48
+27761477359;19 07 2025 17:36;8;1;169;MBs;169;MBs;27,04
+27746545449;14 07 2025 17:03;14;7;42;seconds;1;minutes;0,99
+27716126226;18 07 2025 08:02;24;1;37;MBs;37;MBs;6,29
+27711513959;16 07 2025 02:01;18;1;88;MBs;88;MBs;14,96
+27761389488;14 07 2025 19:33;33;8;170;seconds;170;seconds;32,3
+27712385865;18 07 2025 00:23;14;1;86;MBs;86;MBs;11,18
+27706327368;15 07 2025 14:24;14;1;265;MBs;265;MBs;53
+27765569160;19 07 2025 13:31;8;1;270;MBs;270;MBs;27
+27744146237;19 07 2025 14:21;19;5;250;seconds;250;seconds;12,5
+27704702209;15 07 2025 06:17;9;5;39;seconds;39;seconds;1,95
+27751166645;18 07 2025 23:17;1;5;83;seconds;83;seconds;4,15
+27767639036;14 07 2025 03:46;15;8;197;seconds;197;seconds;23,64
+27718448667;17 07 2025 06:10;21;5;289;seconds;289;seconds;5,78
+27763379489;19 07 2025 01:03;14;4;51;seconds;1;minutes;0,65
+27740348711;18 07 2025 09:35;19;8;40;seconds;40;seconds;5,2
+27757293964;14 07 2025 08:49;9;5;179;seconds;179;seconds;5,37
+27703027009;15 07 2025 09:12;33;7;38;seconds;1;minutes;1,09
+27798562157;17 07 2025 03:35;29;7;47;seconds;1;minutes;0,69
+27733195138;14 07 2025 08:15;20;6;106;SMSs;106;SMSs;71,02
+27703320064;15 07 2025 18:12;2;1;3;MBs;3;MBs;0,48
+27748419705;16 07 2025 18:23;33;1;115;MBs;115;MBs;10,35
+27734580420;17 07 2025 22:11;4;1;33;MBs;33;MBs;5,28
+27711214656;17 07 2025 15:44;8;2;283;MBs;283;MBs;76,41
+27790732780;19 07 2025 12:57;14;8;170;seconds;170;seconds;18,7
+27767240786;16 07 2025 04:26;9;2;164;MBs;164;MBs;55,76
+27704465602;18 07 2025 17:23;13;6;57;SMSs;57;SMSs;33,06
+27707848987;14 07 2025 13:00;21;8;158;seconds;158;seconds;17,38
+27765569160;18 07 2025 10:29;10;8;163;seconds;163;seconds;29,34
+27729733969;16 07 2025 03:32;11;1;108;MBs;108;MBs;18,36
+27712755488;14 07 2025 03:52;11;3;246;seconds;5;minutes;3,85
+27761598472;15 07 2025 19:13;33;5;176;seconds;176;seconds;7,04
+27740678513;15 07 2025 00:50;11;1;151;MBs;151;MBs;27,18
+27736988792;14 07 2025 23:57;18;1;85;MBs;85;MBs;11,05
+27746984621;15 07 2025 02:35;33;8;79;seconds;79;seconds;12,64
+27779152086;18 07 2025 22:31;11;7;283;seconds;5;minutes;4,9
+27769640012;15 07 2025 03:18;34;8;202;seconds;202;seconds;36,36
+27750688826;14 07 2025 04:44;14;8;199;seconds;199;seconds;23,88
+27761465695;19 07 2025 09:37;18;5;103;seconds;103;seconds;6,18
+27727246392;14 07 2025 16:35;8;5;19;seconds;19;seconds;0,57
+27756759873;19 07 2025 09:34;20;1;205;MBs;205;MBs;36,9
+27733195138;16 07 2025 05:02;18;1;89;MBs;89;MBs;17,8
+27756759873;18 07 2025 07:11;4;1;113;MBs;113;MBs;14,69
+27747009358;18 07 2025 14:52;35;4;218;seconds;4;minutes;2
+27739228461;17 07 2025 04:05;19;5;188;seconds;188;seconds;7,52
+27747009358;19 07 2025 06:07;33;5;168;seconds;168;seconds;8,4
+27706374564;18 07 2025 06:02;9;5;35;seconds;35;seconds;1,4
+27733128243;15 07 2025 07:53;28;4;275;seconds;5;minutes;3,05
+27766591547;18 07 2025 14:04;21;1;168;MBs;168;MBs;13,44
+27779961344;16 07 2025 08:34;12;1;228;MBs;228;MBs;41,04
+27780348072;16 07 2025 06:51;35;8;283;seconds;283;seconds;50,94
+27761704638;18 07 2025 04:12;33;5;258;seconds;258;seconds;12,9
+27770953276;15 07 2025 11:41;18;4;113;seconds;2;minutes;1,82
+27705781665;17 07 2025 06:51;35;9;273;SMSs;273;SMSs;202,02
+27777782468;17 07 2025 01:58;8;5;223;seconds;223;seconds;8,92
+27770950073;16 07 2025 21:55;15;1;44;MBs;44;MBs;3,96
+27720029924;17 07 2025 18:43;33;5;114;seconds;114;seconds;5,7
+27788451269;14 07 2025 03:23;10;8;286;seconds;286;seconds;34,32
+27776715116;15 07 2025 18:29;1;3;267;seconds;5;minutes;3,85
+27774160565;16 07 2025 09:42;27;5;84;seconds;84;seconds;3,36
+27728019757;18 07 2025 16:56;10;8;163;seconds;163;seconds;24,45
+27743417384;14 07 2025 02:59;35;5;300;seconds;300;seconds;9
+27702126483;15 07 2025 06:51;33;1;45;MBs;45;MBs;8,55
+27705295490;17 07 2025 07:38;33;1;51;MBs;51;MBs;7,14
+27735045002;14 07 2025 15:18;18;1;203;MBs;203;MBs;30,45
+27739493210;18 07 2025 03:31;33;5;30;seconds;30;seconds;1,2
+27763735255;14 07 2025 15:29;13;1;192;MBs;192;MBs;19,2
+27755830723;14 07 2025 08:01;11;3;147;seconds;3;minutes;3,72
+27707578628;18 07 2025 07:19;19;1;147;MBs;147;MBs;23,52
+27787356407;17 07 2025 05:22;18;5;297;seconds;297;seconds;8,91
+27787961134;19 07 2025 23:37;33;8;249;seconds;249;seconds;32,37
+27706833765;17 07 2025 13:46;27;5;102;seconds;102;seconds;4,08
+27786740905;16 07 2025 22:28;35;5;176;seconds;176;seconds;5,28
+27704552601;16 07 2025 03:26;11;8;9;seconds;9;seconds;1,08
+27780470523;18 07 2025 07:14;19;1;144;MBs;144;MBs;15,84
+27758773144;19 07 2025 00:23;19;4;229;seconds;4;minutes;3,04
+27722747624;16 07 2025 11:16;10;5;257;seconds;257;seconds;12,85
+27754088048;15 07 2025 12:29;8;5;162;seconds;162;seconds;4,86
+27734762586;19 07 2025 05:45;19;1;249;MBs;249;MBs;27,39
+27710091970;15 07 2025 04:35;28;1;221;MBs;221;MBs;19,89
+27718983643;19 07 2025 17:11;11;8;112;seconds;112;seconds;13,44
+27764364545;19 07 2025 09:05;35;5;246;seconds;246;seconds;9,84
+27766591547;19 07 2025 19:34;19;1;139;MBs;139;MBs;19,46
+27764031374;18 07 2025 16:07;10;6;166;SMSs;166;SMSs;114,54
+27732301840;18 07 2025 04:35;7;8;157;seconds;157;seconds;18,84
+27744036820;17 07 2025 07:03;28;5;173;seconds;173;seconds;10,38
+27741042905;19 07 2025 14:35;33;5;53;seconds;53;seconds;3,18
+27732960859;17 07 2025 02:28;30;1;13;MBs;13;MBs;1,82
+27791923440;16 07 2025 14:32;9;1;19;MBs;19;MBs;1,9
+27776745900;18 07 2025 17:56;19;5;11;seconds;11;seconds;0,33
+27798562157;18 07 2025 04:29;12;5;92;seconds;92;seconds;5,52
+27707033903;18 07 2025 08:36;10;5;164;seconds;164;seconds;6,56
+27715983327;14 07 2025 08:32;14;5;160;seconds;160;seconds;6,4
+27703320064;18 07 2025 17:41;3;1;195;MBs;195;MBs;31,2
+27745858892;18 07 2025 21:55;10;1;275;MBs;275;MBs;35,75
+27703402404;15 07 2025 13:46;11;8;82;seconds;82;seconds;14,76
+27736548736;17 07 2025 11:33;14;5;123;seconds;123;seconds;6,15
+27736685370;18 07 2025 06:10;33;8;197;seconds;197;seconds;21,67
+27713677185;19 07 2025 10:33;30;1;79;MBs;79;MBs;11,06
+27732577687;17 07 2025 21:47;27;1;69;MBs;69;MBs;12,42
+27771920365;16 07 2025 04:18;1;8;298;seconds;298;seconds;35,76
+27757073185;16 07 2025 23:17;12;4;271;seconds;5;minutes;3,3
+27771477596;18 07 2025 07:44;7;1;245;MBs;245;MBs;24,5
+27797558478;16 07 2025 13:57;12;5;222;seconds;222;seconds;8,88
+27743282991;14 07 2025 00:14;11;2;17;MBs;17;MBs;6,12
+27706347171;15 07 2025 22:23;10;1;138;MBs;138;MBs;24,84
+27732045020;16 07 2025 21:30;7;2;130;MBs;130;MBs;31,2
+27740678513;17 07 2025 05:26;11;5;51;seconds;51;seconds;2,55
+27768158896;16 07 2025 08:23;32;8;269;seconds;269;seconds;34,97
+27767632849;19 07 2025 14:48;10;1;99;MBs;99;MBs;13,86
+27771920365;15 07 2025 02:36;8;3;241;seconds;5;minutes;5,85
+27704552601;19 07 2025 16:02;11;1;16;MBs;16;MBs;1,76
+27734512854;15 07 2025 10:30;1;8;32;seconds;32;seconds;5,44
+27765030894;17 07 2025 05:09;10;1;140;MBs;140;MBs;16,8
+27748057905;14 07 2025 02:54;18;8;104;seconds;104;seconds;14,56
+27749895634;18 07 2025 23:34;11;5;198;seconds;198;seconds;7,92
+27743417384;16 07 2025 19:12;22;5;72;seconds;72;seconds;2,88
+27790900159;14 07 2025 04:06;35;1;236;MBs;236;MBs;25,96
+27759967153;17 07 2025 14:39;10;2;8;MBs;8;MBs;1,84
+27775640687;17 07 2025 22:35;3;8;218;seconds;218;seconds;28,34
+27779961344;18 07 2025 19:21;12;1;195;MBs;195;MBs;37,05
+27729817935;16 07 2025 15:32;35;1;241;MBs;241;MBs;33,74
+27709050860;19 07 2025 23:38;3;5;103;seconds;103;seconds;5,15
+27756114668;15 07 2025 14:07;1;4;111;seconds;2;minutes;1,1
+27797558478;19 07 2025 13:23;11;5;167;seconds;167;seconds;8,35
+27739590700;14 07 2025 19:05;10;8;107;seconds;107;seconds;20,33
+27726176224;17 07 2025 11:38;33;8;279;seconds;279;seconds;53,01
+27739590700;16 07 2025 22:56;8;9;111;SMSs;111;SMSs;68,82
+27790781178;17 07 2025 21:20;19;1;114;MBs;114;MBs;12,54
+27719118275;14 07 2025 02:47;10;5;221;seconds;221;seconds;6,63
+27759434978;15 07 2025 00:26;26;4;56;seconds;1;minutes;0,87
+27706327368;17 07 2025 19:09;14;8;217;seconds;217;seconds;39,06
+27739579306;17 07 2025 23:26;16;5;201;seconds;201;seconds;10,05
+27744036820;14 07 2025 04:25;34;8;243;seconds;243;seconds;31,59
+27714005115;14 07 2025 10:47;19;1;199;MBs;199;MBs;21,89
+27754088048;16 07 2025 05:46;26;5;235;seconds;235;seconds;9,4
+27706347171;17 07 2025 10:54;12;1;35;MBs;35;MBs;6,65
+27780470523;16 07 2025 02:38;21;2;22;MBs;22;MBs;8,14
+27714247268;17 07 2025 09:32;34;8;34;seconds;34;seconds;4,08
+27753445274;15 07 2025 07:36;10;5;42;seconds;42;seconds;2,52
+27711810165;14 07 2025 15:29;11;5;61;seconds;61;seconds;1,83
+27712488797;14 07 2025 10:44;8;5;250;seconds;250;seconds;5
+27790732780;19 07 2025 17:55;14;2;128;MBs;128;MBs;39,68
+27711572067;17 07 2025 02:35;23;6;165;SMSs;165;SMSs;105,6
+27780348072;19 07 2025 17:40;33;5;45;seconds;45;seconds;2,25
+27786674547;17 07 2025 23:08;10;7;107;seconds;2;minutes;2,36
+27706347171;15 07 2025 03:31;30;5;279;seconds;279;seconds;13,95
+27790892604;15 07 2025 05:47;4;1;196;MBs;196;MBs;31,36
+27766307074;14 07 2025 05:47;35;1;14;MBs;14;MBs;2,24
+27764351821;14 07 2025 06:04;7;8;79;seconds;79;seconds;14,22
+27719015850;18 07 2025 03:34;29;1;70;MBs;70;MBs;7
+27764351821;14 07 2025 13:58;6;1;290;MBs;290;MBs;46,4
+27735555294;15 07 2025 19:36;10;5;295;seconds;295;seconds;11,8
+27734512854;18 07 2025 07:34;1;5;171;seconds;171;seconds;6,84
+27768741126;18 07 2025 16:35;17;1;16;MBs;16;MBs;2,72
+27728019757;16 07 2025 03:13;10;5;99;seconds;99;seconds;4,95
+27771583203;15 07 2025 20:16;35;5;82;seconds;82;seconds;2,46
+27719396045;17 07 2025 12:05;11;1;33;MBs;33;MBs;4,62
+27790681902;16 07 2025 20:22;11;5;235;seconds;235;seconds;9,4
+27734401930;18 07 2025 00:22;16;1;248;MBs;248;MBs;34,72
+27708162164;17 07 2025 01:41;2;1;69;MBs;69;MBs;10,35
+27771920365;15 07 2025 17:45;1;1;42;MBs;42;MBs;5,46
+27716126226;16 07 2025 12:10;24;5;122;seconds;122;seconds;6,1
+27771192228;19 07 2025 21:25;33;1;136;MBs;136;MBs;24,48
+27790681902;17 07 2025 20:40;11;1;143;MBs;143;MBs;24,31
+27789209708;14 07 2025 13:30;11;6;172;SMSs;172;SMSs;87,72
+27775640687;15 07 2025 21:38;2;5;112;seconds;112;seconds;2,24
+27776874455;14 07 2025 11:20;14;5;75;seconds;75;seconds;1,5
+27749951541;15 07 2025 12:19;11;8;109;seconds;109;seconds;17,44
+27705989494;17 07 2025 08:44;14;6;74;SMSs;74;SMSs;50,32
+27776745900;18 07 2025 11:02;21;5;164;seconds;164;seconds;6,56
+27719396045;19 07 2025 00:32;8;2;215;MBs;215;MBs;75,25
+27733128243;16 07 2025 11:14;9;1;45;MBs;45;MBs;6,75
+27758744686;18 07 2025 17:13;33;5;132;seconds;132;seconds;5,28
+27778724103;18 07 2025 16:35;29;8;288;seconds;288;seconds;34,56
+27739493210;15 07 2025 19:32;33;1;215;MBs;215;MBs;32,25
+27758773144;19 07 2025 14:51;19;8;235;seconds;235;seconds;44,65
+27767240786;15 07 2025 12:46;31;5;83;seconds;83;seconds;2,49
+27775025294;18 07 2025 08:19;19;5;75;seconds;75;seconds;3,75
+27775593486;19 07 2025 16:28;17;1;48;MBs;48;MBs;7,2
+27749895634;16 07 2025 08:53;11;4;30;seconds;1;minutes;0,72
+27753445274;16 07 2025 19:13;8;5;90;seconds;90;seconds;3,6
+27763735255;15 07 2025 16:01;11;5;148;seconds;148;seconds;7,4
+27719396045;16 07 2025 23:40;14;5;165;seconds;165;seconds;3,3
+27790022877;18 07 2025 23:16;17;9;88;SMSs;88;SMSs;64,24
+27702088773;19 07 2025 10:55;18;5;163;seconds;163;seconds;8,15
+27776745900;17 07 2025 10:45;19;8;272;seconds;272;seconds;27,2
+27766354480;16 07 2025 06:15;12;6;55;SMSs;55;SMSs;35,75
+27799698904;15 07 2025 10:22;14;8;261;seconds;261;seconds;28,71
+27777782468;15 07 2025 19:13;29;7;27;seconds;1;minutes;0,8
+27732045020;19 07 2025 05:38;7;1;16;MBs;16;MBs;2,72
+27709188166;15 07 2025 22:08;1;3;72;seconds;2;minutes;1,8
+27709188166;17 07 2025 05:03;1;8;153;seconds;153;seconds;16,83
+27720029924;15 07 2025 12:25;33;5;108;seconds;108;seconds;4,32
+27757311186;16 07 2025 14:16;33;8;156;seconds;156;seconds;26,52
+27781238778;17 07 2025 15:45;6;5;274;seconds;274;seconds;16,44
+27735515302;16 07 2025 12:27;30;5;177;seconds;177;seconds;10,62
+27726606265;18 07 2025 10:21;28;1;267;MBs;267;MBs;32,04
+27734401930;16 07 2025 04:50;11;6;213;SMSs;213;SMSs;119,28
+27740027276;15 07 2025 00:56;18;8;133;seconds;133;seconds;19,95
+27755026696;19 07 2025 04:05;35;4;97;seconds;2;minutes;1,5
+27795246915;17 07 2025 22:12;14;8;74;seconds;74;seconds;14,06
+27722745553;19 07 2025 03:49;2;8;290;seconds;290;seconds;34,8
+27706374564;18 07 2025 10:56;7;1;154;MBs;154;MBs;20,02
+27761477359;18 07 2025 04:23;6;1;82;MBs;82;MBs;16,4
+27748057905;15 07 2025 04:49;17;5;294;seconds;294;seconds;11,76
+27753729547;18 07 2025 14:14;33;8;100;seconds;100;seconds;18
+27728547628;18 07 2025 08:58;27;8;266;seconds;266;seconds;29,26
+27700536653;15 07 2025 10:18;15;5;109;seconds;109;seconds;3,27
+27795825108;16 07 2025 01:12;35;1;144;MBs;144;MBs;20,16
+27781102199;16 07 2025 20:19;11;1;130;MBs;130;MBs;10,4
+27734719249;15 07 2025 19:47;1;5;62;seconds;62;seconds;3,1
+27723131974;15 07 2025 06:26;10;1;281;MBs;281;MBs;25,29
+27738285947;14 07 2025 18:20;10;5;129;seconds;129;seconds;5,16
+27736548736;15 07 2025 10:24;14;1;41;MBs;41;MBs;4,92
+27718983643;15 07 2025 07:38;13;3;192;seconds;4;minutes;2,44
+27776745900;17 07 2025 02:48;21;1;16;MBs;16;MBs;1,76
+27739579306;15 07 2025 23:59;16;5;121;seconds;121;seconds;7,26
+27776715116;16 07 2025 07:17;6;1;243;MBs;243;MBs;38,88
+27740027276;15 07 2025 21:01;10;9;237;SMSs;237;SMSs;175,38
+27783581201;15 07 2025 08:37;19;5;166;seconds;166;seconds;6,64
+27737674304;18 07 2025 23:43;28;3;212;seconds;4;minutes;2,84
+27785690836;18 07 2025 20:27;8;3;43;seconds;1;minutes;1,13
+27768741126;17 07 2025 06:11;18;5;192;seconds;192;seconds;7,68
+27729733969;15 07 2025 07:55;11;5;196;seconds;196;seconds;7,84
+27711572067;19 07 2025 01:22;23;5;190;seconds;190;seconds;7,6
+27767843485;14 07 2025 08:01;29;8;157;seconds;157;seconds;17,27
+27729619869;14 07 2025 21:25;21;1;237;MBs;237;MBs;18,96
+27723131974;17 07 2025 01:51;15;1;269;MBs;269;MBs;43,04
+27723956054;14 07 2025 22:45;4;8;76;seconds;76;seconds;10,64
+27766307074;14 07 2025 16:19;33;8;104;seconds;104;seconds;17,68
+27771583203;17 07 2025 09:06;33;5;171;seconds;171;seconds;5,13
+27762338119;19 07 2025 06:20;10;5;116;seconds;116;seconds;3,48
+27729675831;14 07 2025 15:03;18;1;173;MBs;173;MBs;25,95
+27709050860;19 07 2025 16:45;1;1;49;MBs;49;MBs;7,35
+27740348711;19 07 2025 21:37;21;1;70;MBs;70;MBs;7,7
+27734810654;18 07 2025 02:36;11;2;262;MBs;262;MBs;104,8
+27790892604;14 07 2025 15:28;5;5;134;seconds;134;seconds;5,36
+27730210420;14 07 2025 13:08;11;5;71;seconds;71;seconds;2,84
+27748419705;16 07 2025 04:42;35;1;185;MBs;185;MBs;20,35
+27797256727;17 07 2025 04:18;19;1;62;MBs;62;MBs;8,06
+27788451269;15 07 2025 06:26;10;1;126;MBs;126;MBs;11,34
+27795246915;18 07 2025 10:40;32;8;79;seconds;79;seconds;11,06
+27761465695;16 07 2025 02:06;33;8;285;seconds;285;seconds;57
+27758159426;14 07 2025 00:29;18;5;14;seconds;14;seconds;0,7
+27739126870;19 07 2025 12:11;29;1;63;MBs;63;MBs;6,3
+27753079529;14 07 2025 01:53;7;4;218;seconds;4;minutes;2,64
+27740407777;18 07 2025 07:35;25;1;84;MBs;84;MBs;15,96
+27737391314;14 07 2025 19:20;30;5;71;seconds;71;seconds;2,13
+27787356407;14 07 2025 09:04;14;7;118;seconds;2;minutes;1,66
+27754088048;18 07 2025 08:11;26;1;282;MBs;282;MBs;45,12
+27741562035;18 07 2025 22:14;25;1;81;MBs;81;MBs;7,29
+27739579306;15 07 2025 15:56;29;1;119;MBs;119;MBs;19,04
+27789793342;19 07 2025 22:49;20;1;278;MBs;278;MBs;41,7
+27771477596;19 07 2025 08:21;16;1;286;MBs;286;MBs;48,62
+27732045020;16 07 2025 10:32;7;1;73;MBs;73;MBs;8,76
+27761935085;16 07 2025 12:37;11;8;18;seconds;18;seconds;3,24
+27710091970;15 07 2025 18:06;32;1;17;MBs;17;MBs;3,23
+27706833765;14 07 2025 05:07;14;1;173;MBs;173;MBs;22,49
+27775640687;14 07 2025 11:37;3;5;115;seconds;115;seconds;5,75
+27799698904;15 07 2025 20:21;14;5;196;seconds;196;seconds;9,8
+27750383551;14 07 2025 00:49;35;2;236;MBs;236;MBs;66,08
+27766591547;16 07 2025 06:09;19;5;18;seconds;18;seconds;0,72
+27789600650;18 07 2025 01:44;8;5;236;seconds;236;seconds;9,44
+27791923440;14 07 2025 20:22;9;3;229;seconds;4;minutes;5,12
+27780470523;15 07 2025 22:47;21;5;45;seconds;45;seconds;2,7
+27729675831;18 07 2025 11:44;18;5;189;seconds;189;seconds;11,34
+27796509072;18 07 2025 07:54;31;8;287;seconds;287;seconds;43,05
+27758098548;18 07 2025 18:39;8;5;174;seconds;174;seconds;8,7
+27771477596;15 07 2025 18:49;18;1;19;MBs;19;MBs;3,8
+27728547628;18 07 2025 09:35;16;1;82;MBs;82;MBs;9,02
+27761704638;19 07 2025 14:53;35;1;162;MBs;162;MBs;29,16
+27738312041;19 07 2025 03:09;10;8;68;seconds;68;seconds;6,8
+27748057905;17 07 2025 00:07;14;5;300;seconds;300;seconds;12
+27744036820;19 07 2025 21:56;28;8;252;seconds;252;seconds;42,84
+27758159426;15 07 2025 06:35;13;8;118;seconds;118;seconds;22,42
+27740715738;17 07 2025 23:05;11;6;156;SMSs;156;SMSs;96,72
+27749758825;14 07 2025 10:50;11;8;238;seconds;238;seconds;35,7
+27709050860;14 07 2025 09:05;3;5;157;seconds;157;seconds;9,42
+27777008770;14 07 2025 00:43;10;5;266;seconds;266;seconds;7,98
+27738285947;17 07 2025 11:53;8;3;228;seconds;4;minutes;5,12
+27757311186;18 07 2025 15:50;33;1;73;MBs;73;MBs;13,14
+27726147995;18 07 2025 04:45;19;8;209;seconds;209;seconds;25,08
+27720029924;14 07 2025 05:46;33;1;230;MBs;230;MBs;32,2
+27796004479;18 07 2025 02:47;26;5;219;seconds;219;seconds;10,95
+27734719249;18 07 2025 02:56;1;5;264;seconds;264;seconds;13,2
+27750688826;17 07 2025 02:55;14;1;199;MBs;199;MBs;35,82
+27748023717;16 07 2025 16:41;17;5;69;seconds;69;seconds;2,07
+27758773144;15 07 2025 12:09;21;8;263;seconds;263;seconds;34,19
+27788798367;16 07 2025 21:55;33;8;20;seconds;20;seconds;2,8
+27712113164;18 07 2025 17:13;10;5;27;seconds;27;seconds;1,35
+27750818959;15 07 2025 14:21;35;2;278;MBs;278;MBs;75,06
+27753079529;16 07 2025 00:13;23;1;26;MBs;26;MBs;3,64
+27765054595;19 07 2025 19:29;10;6;53;SMSs;53;SMSs;30,74
+27770953276;17 07 2025 20:46;18;1;137;MBs;137;MBs;13,7
+27792624290;15 07 2025 17:51;6;1;215;MBs;215;MBs;32,25
+27753445274;17 07 2025 17:28;8;6;66;SMSs;66;SMSs;44,22
+27757311186;15 07 2025 10:04;33;5;192;seconds;192;seconds;9,6
+27734762586;18 07 2025 04:31;19;1;288;MBs;288;MBs;51,84
+27792106918;17 07 2025 20:19;33;5;247;seconds;247;seconds;12,35
+27736988792;18 07 2025 12:45;18;1;36;MBs;36;MBs;4,32
+27736548736;15 07 2025 04:39;13;1;233;MBs;233;MBs;18,64
+27767399287;18 07 2025 03:02;15;8;293;seconds;293;seconds;35,16
+27798418621;18 07 2025 06:57;11;7;178;seconds;3;minutes;3,15
+27767843485;14 07 2025 05:53;9;1;61;MBs;61;MBs;9,76
+27706908401;14 07 2025 07:34;11;5;169;seconds;169;seconds;8,45
+27739579306;16 07 2025 18:29;16;1;90;MBs;90;MBs;17,1
+27728019757;19 07 2025 12:26;10;5;59;seconds;59;seconds;1,18
+27776010419;18 07 2025 10:06;27;3;148;seconds;3;minutes;2,07
+27784301965;17 07 2025 18:24;15;1;35;MBs;35;MBs;3,15
+27704552601;19 07 2025 20:08;11;8;192;seconds;192;seconds;23,04
+27735515302;18 07 2025 11:28;30;4;230;seconds;4;minutes;3,08
+27745495609;19 07 2025 18:08;31;8;299;seconds;299;seconds;44,85
+27790681902;15 07 2025 22:36;11;8;252;seconds;252;seconds;32,76
+27721345908;17 07 2025 07:59;33;1;93;MBs;93;MBs;9,3
+27753445274;14 07 2025 02:32;10;7;137;seconds;3;minutes;3,3
+27783253285;17 07 2025 16:29;13;5;150;seconds;150;seconds;7,5
+27718448667;14 07 2025 20:15;19;1;298;MBs;298;MBs;26,82
+27745481138;15 07 2025 23:45;23;1;70;MBs;70;MBs;7,7
+27721345908;14 07 2025 18:01;21;7;278;seconds;5;minutes;5,25
+27720593040;17 07 2025 02:41;11;1;245;MBs;245;MBs;19,6
+27777937454;14 07 2025 20:20;19;3;283;seconds;5;minutes;7,2
+27701525711;14 07 2025 19:09;7;5;27;seconds;27;seconds;1,08
+27780348072;14 07 2025 05:06;33;1;280;MBs;280;MBs;30,8
+27720029924;16 07 2025 04:41;33;3;101;seconds;2;minutes;1,9
+27750688826;17 07 2025 03:30;14;4;153;seconds;3;minutes;1,92
+27738031248;15 07 2025 01:30;11;4;105;seconds;2;minutes;1,58
+27771177580;18 07 2025 19:08;33;6;37;SMSs;37;SMSs;23,31
+27758901102;15 07 2025 21:09;14;5;226;seconds;226;seconds;6,78
+27711312486;14 07 2025 00:01;1;1;12;MBs;12;MBs;1,08
+27700594567;15 07 2025 19:49;10;5;285;seconds;285;seconds;8,55
+27712488797;19 07 2025 08:41;11;5;36;seconds;36;seconds;1,08
+27764031374;19 07 2025 08:06;10;3;172;seconds;3;minutes;2,91
+27722747624;17 07 2025 21:01;30;1;279;MBs;279;MBs;41,85
+27761935085;17 07 2025 15:30;28;1;244;MBs;244;MBs;39,04
+27727246392;16 07 2025 08:04;20;5;56;seconds;56;seconds;2,8
+27796967165;15 07 2025 01:04;5;2;295;MBs;295;MBs;112,1
+27702126483;15 07 2025 07:12;33;8;288;seconds;288;seconds;37,44
+27732960859;14 07 2025 01:04;33;5;75;seconds;75;seconds;3,75
+27758622777;19 07 2025 04:47;17;4;42;seconds;1;minutes;0,94
+27700594567;14 07 2025 00:53;10;5;282;seconds;282;seconds;8,46
+27705781665;14 07 2025 06:47;33;8;148;seconds;148;seconds;17,76
+27726147995;18 07 2025 08:17;19;1;232;MBs;232;MBs;46,4
